Date,Energy (mwh),
01-Jan-2003,345099, , , , , , , , , ,
01-Feb-2003,325926, , , , , , , , , ,
01-Mar-2003,333992, , , , , , , , , ,
01-Apr-2003,253604, , , , , , , , , ,
01-May-2003,275084, , , , , , , , , ,
01-Jun-2003,362113, , , , , , , , , ,
01-Jul-2003,13303, , , , , , , , , ,
01-Aug-2003,381677, , , , , , , , , ,
01-Sep-2003,201476, , , , , , , , , ,
01-Oct-2003,205639, , , , , , , , , ,
01-Nov-2003,198483, , , , , , , , , ,
01-Dec-2003,251390, , , , , , , , , ,
01-Jan-2004,324506, , , , , , , , , ,
01-Feb-2004,303996, , , , , , , , , ,
01-Mar-2004,312329, , , , , , , , , ,
01-Apr-2004,263409, , , , , , , , , ,
01-May-2004,239208, , , , , , , , , ,
01-Jun-2004,324063, , , , , , , , , ,
01-Jul-2004,360484, , , , , , , , , ,
01-Aug-2004,353777, , , , , , , , , ,
01-Sep-2004,187831, , , , , , , , , ,
01-Oct-2004,191486, , , , , , , , , ,
01-Nov-2004,241577, , , , , , , , , ,
01-Dec-2004,229700, , , , , , , , , ,
01-Jan-2005,295870, , , , , , , , , ,
01-Feb-2005,272133, , , , , , , , , ,
01-Mar-2005,301092, , , , , , , , , ,
01-Apr-2005,197117, , , , , , , , , ,
01-May-2005,231773, , , , , , , , , ,
01-Jun-2005,322377, , , , , , , , , ,
01-Jul-2005,360043, , , , , , , , , ,
01-Aug-2005,367181, , , , , , , , , ,
01-Sep-2005,207887, , , , , , , , , ,
01-Oct-2005,207458, , , , , , , , , ,
01-Nov-2005,210553, , , , , , , , , ,
01-Dec-2005,335169, , , , , , , , , ,
01-Jan-2006,331195, , , , , , , , , ,
01-Feb-2006,316815, , , , , , , , , ,
01-Mar-2006,244156, , , , , , , , , ,
01-Apr-2006,244854, , , , , , , , , ,
01-May-2006,248000, , , , , , , , , ,
01-Jun-2006,340423, , , , , , , , , ,
01-Jul-2006,351038, , , , , , , , , ,
01-Aug-2006,348678, , , , , , , , , ,
01-Sep-2006,222797, , , , , , , , , ,
01-Oct-2006,254005, , , , , , , , , ,
01-Nov-2006,253628, , , , , , , , , ,
01-Dec-2006,337824, , , , , , , , , ,
01-Jan-2007,335530, , , , , , , , , ,
01-Feb-2007,251299, , , , , , , , , ,
01-Mar-2007,249449, , , , , , , , , ,
01-Apr-2007,250494, , , , , , , , , ,
01-May-2007,253519, , , , , , , , , ,
